dec 10/11:13:40.443 DEBUG2 : 		STLinkOpen
dec 10/11:13:40.466 DEBUG2 : 		Reset
dec 10/11:13:40.469 DEBUG2 : 		Stop
dec 10/11:13:40.470 DEBUG2 : 		ReadTarget32
dec 10/11:13:40.471 DEBUG2 : 		ReadTarget32
dec 10/11:13:40.474 DEBUG2 : 		ReadTarget32
dec 10/11:13:40.490 DEBUG2 : 		ReadTarget32
dec 10/11:13:40.490 DEBUG2 : 		WriteTarget32 Address=0xE0042004 Data=0x00000300
dec 10/11:13:40.491 DEBUG2 : 		ReadTarget32
dec 10/11:13:40.492 DEBUG2 : 		ReadTarget32
dec 10/11:13:40.492 DEBUG2 : 		ReadTarget32
dec 10/11:13:40.493 DEBUG2 : 		ReadTarget32
dec 10/11:13:40.494 DEBUG2 : 		WriteTarget32 Address=0x40021004 Data=0x00000000
dec 10/11:13:40.494 DEBUG2 : 		WriteTarget32 Address=0x40021000 Data=0x00010081
dec 10/11:13:40.494 DEBUG2 : 		WriteTarget32 Address=0x40021008 Data=0x00000000
dec 10/11:13:40.495 DEBUG2 : 		ReadTarget32
dec 10/11:13:40.524 DEBUG2 : 		WriteTarget32 Address=0x20000000 Data=0x2000C000
dec 10/11:13:40.525 DEBUG2 : 		WriteTarget32 Address=0x20000040 Data=0x4C1EB51C
dec 10/11:13:40.533 DEBUG2 : 		ReadTarget32
dec 10/11:13:40.534 DEBUG2 : 		ReadTarget32
dec 10/11:13:40.534 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.537 DEBUG2 : 		STLinkWriteReg
dec 10/11:13:40.537 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.540 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.540 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.540 DEBUG2 : 		STLinkWriteReg
dec 10/11:13:40.540 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.543 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.543 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.543 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.543 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.543 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.543 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.543 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.543 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.543 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.543 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.543 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.543 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.543 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.543 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.543 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.543 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.543 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.543 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.543 DEBUG2 : 		STLinkWriteReg
dec 10/11:13:40.544 DEBUG2 : 		ReadTarget32
dec 10/11:13:40.544 DEBUG2 : 		WriteTarget32 Address=0xE000EDFC Data=0x01000000
dec 10/11:13:40.545 DEBUG2 : 		ReadTarget32
dec 10/11:13:40.545 DEBUG2 : 		ReadTarget32
dec 10/11:13:40.548 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.550 DEBUG2 : 		WriteTarget32 Address=0x2000BD98 Data=0x00000000
dec 10/11:13:40.551 DEBUG2 : 		WriteTarget32 Address=0x2000BD84 Data=0x08000000
dec 10/11:13:40.552 DEBUG2 : 		STLinkWriteReg
dec 10/11:13:40.552 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.555 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.555 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.555 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.555 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.555 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.555 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.555 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.555 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.555 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.555 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.555 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.555 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.555 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.555 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.555 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.555 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.555 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.555 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.555 DEBUG2 : 		STLinkWriteReg
dec 10/11:13:40.556 DEBUG2 : 		ReadTarget16
dec 10/11:13:40.556 DEBUG2 : 		SetCodeBreak
dec 10/11:13:40.557 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.560 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.563 DEBUG2 : 		ReadTarget16
dec 10/11:13:40.563 DEBUG2 : 		ReadTarget32
dec 10/11:13:40.564 DEBUG2 : 		WriteTarget32 Address=0xE000EDFC Data=0x01000000
dec 10/11:13:40.564 DEBUG2 : 		ReadTarget32
dec 10/11:13:40.565 DEBUG2 : 		ReadTarget32
dec 10/11:13:40.565 DEBUG2 : 		ReadTarget32
dec 10/11:13:40.566 DEBUG2 : 		ReadTarget32
dec 10/11:13:40.566 DEBUG2 : 		WriteTarget32 Address=0xE000EDFC Data=0x01000000
dec 10/11:13:40.567 DEBUG2 : 		WriteTarget32 Address=0xE0001028 Data=0x00000000
dec 10/11:13:40.567 DEBUG2 : 		WriteTarget32 Address=0xE0001038 Data=0x00000000
dec 10/11:13:40.568 DEBUG2 : 		WriteTarget32 Address=0xE0001048 Data=0x00000000
dec 10/11:13:40.568 DEBUG2 : 		WriteTarget32 Address=0xE0001058 Data=0x00000000
dec 10/11:13:40.569 DEBUG2 : 		Go >
dec 10/11:13:40.572 DEBUG2 : 		Go <
dec 10/11:13:40.574 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.576 DEBUG2 : 		ReadTarget32
dec 10/11:13:40.577 DEBUG2 : 		WriteTarget32 Address=0xE000EDFC Data=0x01000000
dec 10/11:13:40.578 DEBUG2 : 		WriteTarget32 Address=0xE0001028 Data=0x00000000
dec 10/11:13:40.578 DEBUG2 : 		WriteTarget32 Address=0xE0001038 Data=0x00000000
dec 10/11:13:40.579 DEBUG2 : 		WriteTarget32 Address=0xE0001048 Data=0x00000000
dec 10/11:13:40.580 DEBUG2 : 		WriteTarget32 Address=0xE0001058 Data=0x00000000
dec 10/11:13:40.581 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.583 DEBUG2 : 		ReadTarget16
dec 10/11:13:40.584 DEBUG2 : 		ReadTarget32
dec 10/11:13:40.585 DEBUG2 : 		WriteTarget32 Address=0x20000300 Data=0x08000000
dec 10/11:13:40.587 DEBUG2 : 		WriteTarget32 Address=0x2000BD84 Data=0x00000000
dec 10/11:13:40.587 DEBUG2 : 		STLinkWriteReg
dec 10/11:13:40.588 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.590 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.590 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.590 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.590 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.590 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.590 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.591 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.591 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.591 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.591 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.591 DEBUG2 : 		STLinkReadReg
