nov 12/21:41:40.393 DEBUG2 : 		STLinkOpen
nov 12/21:41:40.412 DEBUG2 : 		Reset
nov 12/21:41:40.415 DEBUG2 : 		Stop
nov 12/21:41:40.415 DEBUG2 : 		ReadTarget32
nov 12/21:41:40.416 DEBUG2 : 		ReadTarget32
nov 12/21:41:40.419 DEBUG2 : 		ReadTarget32
nov 12/21:41:40.434 DEBUG2 : 		ReadTarget32
nov 12/21:41:40.434 DEBUG2 : 		ReadTarget32
nov 12/21:41:40.435 DEBUG2 : 		ReadTarget32
nov 12/21:41:40.435 DEBUG2 : 		ReadTarget32
nov 12/21:41:40.435 DEBUG2 : 		ReadTarget32
nov 12/21:41:40.436 DEBUG2 : 		WriteTarget32 Address=0x40021004 Data=0x00000000
nov 12/21:41:40.436 DEBUG2 : 		WriteTarget32 Address=0x40021000 Data=0x00010081
nov 12/21:41:40.437 DEBUG2 : 		WriteTarget32 Address=0x40021008 Data=0x00000000
nov 12/21:41:40.437 DEBUG2 : 		ReadTarget32
nov 12/21:41:40.466 DEBUG2 : 		WriteTarget32 Address=0x20000000 Data=0x2000C000
nov 12/21:41:40.466 DEBUG2 : 		WriteTarget32 Address=0x20000040 Data=0x4C1EB51C
nov 12/21:41:40.474 DEBUG2 : 		ReadTarget32
nov 12/21:41:40.474 DEBUG2 : 		ReadTarget32
nov 12/21:41:40.474 DEBUG2 : 		STLinkReadReg
nov 12/21:41:40.477 DEBUG2 : 		STLinkWriteReg
nov 12/21:41:40.477 DEBUG2 : 		STLinkReadReg
nov 12/21:41:40.479 DEBUG2 : 		STLinkReadReg
nov 12/21:41:40.479 DEBUG2 : 		STLinkReadReg
nov 12/21:41:40.480 DEBUG2 : 		STLinkWriteReg
nov 12/21:41:40.480 DEBUG2 : 		STLinkReadReg
nov 12/21:41:40.482 DEBUG2 : 		STLinkReadReg
nov 12/21:41:40.482 DEBUG2 : 		STLinkReadReg
nov 12/21:41:40.482 DEBUG2 : 		STLinkReadReg
nov 12/21:41:40.482 DEBUG2 : 		STLinkReadReg
nov 12/21:41:40.482 DEBUG2 : 		STLinkReadReg
nov 12/21:41:40.482 DEBUG2 : 		STLinkReadReg
nov 12/21:41:40.482 DEBUG2 : 		STLinkReadReg
nov 12/21:41:40.482 DEBUG2 : 		STLinkReadReg
nov 12/21:41:40.483 DEBUG2 : 		STLinkReadReg
nov 12/21:41:40.483 DEBUG2 : 		STLinkReadReg
nov 12/21:41:40.483 DEBUG2 : 		STLinkReadReg
nov 12/21:41:40.483 DEBUG2 : 		STLinkReadReg
nov 12/21:41:40.483 DEBUG2 : 		STLinkReadReg
nov 12/21:41:40.483 DEBUG2 : 		STLinkReadReg
nov 12/21:41:40.483 DEBUG2 : 		STLinkReadReg
nov 12/21:41:40.483 DEBUG2 : 		STLinkReadReg
nov 12/21:41:40.483 DEBUG2 : 		STLinkReadReg
nov 12/21:41:40.483 DEBUG2 : 		STLinkReadReg
nov 12/21:41:40.483 DEBUG2 : 		STLinkWriteReg
nov 12/21:41:40.483 DEBUG2 : 		ReadTarget32
nov 12/21:41:40.483 DEBUG2 : 		WriteTarget32 Address=0xE000EDFC Data=0x01000000
nov 12/21:41:40.484 DEBUG2 : 		ReadTarget32
nov 12/21:41:40.484 DEBUG2 : 		ReadTarget32
nov 12/21:41:40.487 DEBUG2 : 		STLinkReadReg
nov 12/21:41:40.490 DEBUG2 : 		WriteTarget32 Address=0x2000BD98 Data=0x00000000
nov 12/21:41:40.490 DEBUG2 : 		WriteTarget32 Address=0x2000BD84 Data=0x08000000
nov 12/21:41:40.491 DEBUG2 : 		STLinkWriteReg
nov 12/21:41:40.491 DEBUG2 : 		STLinkReadReg
nov 12/21:41:40.494 DEBUG2 : 		STLinkReadReg
nov 12/21:41:40.494 DEBUG2 : 		STLinkReadReg
nov 12/21:41:40.494 DEBUG2 : 		STLinkReadReg
nov 12/21:41:40.494 DEBUG2 : 		STLinkReadReg
nov 12/21:41:40.494 DEBUG2 : 		STLinkReadReg
nov 12/21:41:40.494 DEBUG2 : 		STLinkReadReg
nov 12/21:41:40.494 DEBUG2 : 		STLinkReadReg
nov 12/21:41:40.494 DEBUG2 : 		STLinkReadReg
nov 12/21:41:40.494 DEBUG2 : 		STLinkReadReg
nov 12/21:41:40.494 DEBUG2 : 		STLinkReadReg
nov 12/21:41:40.494 DEBUG2 : 		STLinkReadReg
nov 12/21:41:40.494 DEBUG2 : 		STLinkReadReg
nov 12/21:41:40.494 DEBUG2 : 		STLinkReadReg
nov 12/21:41:40.494 DEBUG2 : 		STLinkReadReg
nov 12/21:41:40.494 DEBUG2 : 		STLinkReadReg
nov 12/21:41:40.494 DEBUG2 : 		STLinkReadReg
nov 12/21:41:40.494 DEBUG2 : 		STLinkReadReg
nov 12/21:41:40.494 DEBUG2 : 		STLinkReadReg
nov 12/21:41:40.494 DEBUG2 : 		STLinkWriteReg
nov 12/21:41:40.494 DEBUG2 : 		ReadTarget16
nov 12/21:41:40.495 DEBUG2 : 		SetCodeBreak
nov 12/21:41:40.495 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.498 DEBUG2 : 		STLinkReadReg
nov 12/21:41:40.500 DEBUG2 : 		ReadTarget16
nov 12/21:41:40.501 DEBUG2 : 		ReadTarget32
nov 12/21:41:40.501 DEBUG2 : 		WriteTarget32 Address=0xE000EDFC Data=0x01000000
nov 12/21:41:40.501 DEBUG2 : 		ReadTarget32
nov 12/21:41:40.502 DEBUG2 : 		ReadTarget32
nov 12/21:41:40.502 DEBUG2 : 		ReadTarget32
nov 12/21:41:40.503 DEBUG2 : 		ReadTarget32
nov 12/21:41:40.503 DEBUG2 : 		WriteTarget32 Address=0xE000EDFC Data=0x01000000
nov 12/21:41:40.504 DEBUG2 : 		WriteTarget32 Address=0xE0001028 Data=0x00000000
nov 12/21:41:40.504 DEBUG2 : 		WriteTarget32 Address=0xE0001038 Data=0x00000000
nov 12/21:41:40.505 DEBUG2 : 		WriteTarget32 Address=0xE0001048 Data=0x00000000
nov 12/21:41:40.505 DEBUG2 : 		WriteTarget32 Address=0xE0001058 Data=0x00000000
nov 12/21:41:40.506 DEBUG2 : 		Go >
nov 12/21:41:40.508 DEBUG2 : 		Go <
nov 12/21:41:40.510 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.511 DEBUG2 : 		ReadTarget32
nov 12/21:41:40.512 DEBUG2 : 		WriteTarget32 Address=0xE000EDFC Data=0x01000000
nov 12/21:41:40.512 DEBUG2 : 		WriteTarget32 Address=0xE0001028 Data=0x00000000
nov 12/21:41:40.512 DEBUG2 : 		WriteTarget32 Address=0xE0001038 Data=0x00000000
nov 12/21:41:40.513 DEBUG2 : 		WriteTarget32 Address=0xE0001048 Data=0x00000000
nov 12/21:41:40.513 DEBUG2 : 		WriteTarget32 Address=0xE0001058 Data=0x00000000
nov 12/21:41:40.513 DEBUG2 : 		STLinkReadReg
nov 12/21:41:40.516 DEBUG2 : 		ReadTarget16
nov 12/21:41:40.516 DEBUG2 : 		ReadTarget32
nov 12/21:41:40.517 DEBUG2 : 		WriteTarget32 Address=0x20000300 Data=0x08000000
nov 12/21:41:40.518 DEBUG2 : 		WriteTarget32 Address=0x2000BD84 Data=0x00000000
